timestamp,ticker,regime,signal_type,price,level,strength,volume,volume_spike,dp_confirmed,reason,dp_details
2025-10-17T10:30:00,SPY,CHOP,NO_SIGNAL,664.3900146484375,,,0,False,,"No breakout/reversal detected. Resistance: [665.6300048828125, 665.1400146484375], Support: [664.1500244140625, 664.2100219726562]",
2025-10-17T10:30:00,QQQ,CHOP,NO_SIGNAL,603.9299926757812,,,0,False,,"No breakout/reversal detected. Resistance: [605.3599853515625, 604.8699951171875], Support: [603.8499755859375, 603.8800048828125]",
2025-10-17T14:15:00,SPY,CHOP,NO_SIGNAL,664.3900146484375,,,0,False,,"No breakout/reversal detected. Resistance: [665.6300048828125, 665.1400146484375], Support: [664.1500244140625, 664.2100219726562]",
2025-10-17T14:15:00,QQQ,CHOP,NO_SIGNAL,603.9299926757812,,,0,False,,"No breakout/reversal detected. Resistance: [605.3599853515625, 604.8699951171875], Support: [603.8499755859375, 603.8800048828125]",
2025-10-17T11:45:00,SPY,CHOP,NO_SIGNAL,664.3900146484375,,,0,False,,"No breakout/reversal detected. Resistance: [665.6300048828125, 665.1400146484375], Support: [664.1500244140625, 664.2100219726562]",
2025-10-17T11:45:00,QQQ,CHOP,NO_SIGNAL,603.9299926757812,,,0,False,,"No breakout/reversal detected. Resistance: [605.3599853515625, 604.8699951171875], Support: [603.8499755859375, 603.8800048828125]",
2025-10-17T15:30:00,SPY,CHOP,NO_SIGNAL,664.3900146484375,,,0,False,,"No breakout/reversal detected. Resistance: [665.6300048828125, 665.1400146484375], Support: [664.1500244140625, 664.2100219726562]",
2025-10-17T15:30:00,QQQ,CHOP,NO_SIGNAL,603.9299926757812,,,0,False,,"No breakout/reversal detected. Resistance: [605.3599853515625, 604.8699951171875], Support: [603.8499755859375, 603.8800048828125]",
2025-10-17T10:30:00,SPY,CHOP,NO_SIGNAL,666.0,,,500000,True,,"No breakout/reversal detected. Resistance: [665.5, 666.2], Support: [664.2, 663.5]",
2025-10-17T10:30:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T14:15:00,SPY,CHOP,NO_SIGNAL,663.5,,,750000,True,,"No breakout/reversal detected. Resistance: [665.5, 666.2], Support: [664.2, 663.5]",
2025-10-17T14:15:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T11:45:00,SPY,CHOP,NO_SIGNAL,663.5,,,750000,True,,"No breakout/reversal detected. Resistance: [665.5, 666.2], Support: [664.2, 663.5]",
2025-10-17T11:45:00,QQQ,CHOP,CANDIDATE_REVERSAL,606.5,664.2,0.08687142426979831,300000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T10:30:00,SPY,CHOP,CANDIDATE_BREAKOUT,670.0,665.5,0.0067618332081141996,500000,True,False,Price > resistance*(1+thr); thr=0.006,
2025-10-17T10:30:00,SPY,CHOP,NO_SIGNAL,670.0,,,500000,True,,"No breakout/reversal detected. Resistance: [665.5, 666.2], Support: [664.2, 663.5]",
2025-10-17T10:30:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T14:15:00,SPY,CHOP,CANDIDATE_REVERSAL,660.0,664.2,0.006323396567299074,750000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T14:15:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T11:45:00,SPY,CHOP,CANDIDATE_REVERSAL,660.0,664.2,0.006323396567299074,750000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T11:45:00,QQQ,CHOP,CANDIDATE_REVERSAL,610.0,664.2,0.08160192713038247,300000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T10:30:00,SPY,CHOP,CANDIDATE_BREAKOUT,670.0,665.5,0.0067618332081141996,500000,True,False,Price > resistance*(1+thr); thr=0.006,
2025-10-17T10:30:00,SPY,CHOP,NO_SIGNAL,670.0,,,500000,True,,"No breakout/reversal detected. Resistance: [665.5, 666.2], Support: [664.2, 663.5]",
2025-10-17T10:30:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T14:15:00,SPY,CHOP,CANDIDATE_REVERSAL,660.0,664.2,0.006323396567299074,750000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T14:15:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T11:45:00,SPY,CHOP,CANDIDATE_REVERSAL,660.0,664.2,0.006323396567299074,750000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T11:45:00,QQQ,CHOP,CANDIDATE_REVERSAL,610.0,664.2,0.08160192713038247,300000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T10:30:00,SPY,CHOP,CANDIDATE_BREAKOUT,670.0,665.5,0.0067618332081141996,500000,True,False,Price > resistance*(1+thr); thr=0.006,
2025-10-17T10:30:00,SPY,CHOP,NO_SIGNAL,670.0,,,500000,True,,"No breakout/reversal detected. Resistance: [665.5, 666.2], Support: [664.2, 663.5]",
2025-10-17T10:30:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T14:15:00,SPY,CHOP,CANDIDATE_REVERSAL,660.0,664.2,0.006323396567299074,750000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T14:15:00,QQQ,WARMING_UP,NONE,,,,,,,Insufficient history (0/20),
2025-10-17T11:45:00,SPY,CHOP,CANDIDATE_REVERSAL,660.0,664.2,0.006323396567299074,750000,True,False,Price < support*(1-thr); thr=0.006,
2025-10-17T11:45:00,QQQ,CHOP,CANDIDATE_REVERSAL,610.0,664.2,0.08160192713038247,300000,True,False,Price < support*(1-thr); thr=0.006,
